时间,序列号,信号机数量,信号机次序,信号机Id,信号机所属联锁,信号机所属ZC,信号机属性,信号机强制命令,信号机红绿状态,列车跨压信号机标志,
2017-12-3 11:38:19,6747,34,1,0x3e,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,2,0x3f,0x1,0x1,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,3,0x40,0x1,0x1,0x4,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,4,0x41,0x1,0x1,0x4,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,5,0x42,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,6,0x43,0x1,0x1,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,7,0x44,0x1,0x1,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,8,0x45,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,9,0x46,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,10,0x47,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,11,0x48,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,12,0x49,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,13,0x4a,0x1,0x1,0x4,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,14,0x4b,0x2,0x2,0x8,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,15,0x4c,0x2,0x2,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,16,0x4d,0x2,0x2,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,17,0x4e,0x2,0x2,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,18,0x4f,0x2,0x2,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,19,0x52,0x2,0x2,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,20,0x68,0x1,0x1,0x4,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,21,0x69,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,22,0x6a,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,23,0x6b,0x1,0x1,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,24,0x6c,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,25,0x6d,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,26,0x6e,0x1,0x1,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,27,0x6f,0x1,0x1,0x4,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,28,0x70,0x1,0x1,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,29,0x71,0x2,0x2,0x8,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,30,0x72,0x2,0x2,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,31,0x88,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,32,0x8b,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,33,0x8c,0x1,0x1,0x4,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,34,0x8d,0x1,0x1,0x8,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,1,0x3e,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,2,0x3f,0x1,0x1,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,3,0x40,0x1,0x1,0x4,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,4,0x41,0x1,0x1,0x4,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,5,0x42,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,6,0x43,0x1,0x1,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,7,0x44,0x1,0x1,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,8,0x45,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,9,0x46,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,10,0x47,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,11,0x48,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,12,0x49,0x1,0x1,0x2,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,13,0x4a,0x1,0x1,0x4,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,14,0x4b,0x2,0x2,0x8,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,15,0x4c,0x2,0x2,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,16,0x4d,0x2,0x2,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,17,0x4e,0x2,0x2,0x1,0xaa,0x55,0xaa,
2017-12-3 11:38:19,6747,34,18,0x4f,0x2,0x2,0x2,0xaa,0x55,0xaa,
